event_name,event_date,event_location,winner,fighter_a_name,fighter_b_name,weightclass,method_of_victory,round_of_victory,time_of_victory,time_format,referee,title_fight,gender,Fighter A Odds,Fighter A Avg Odds,Fighter A Best Odds,Fighter B Odds,Fighter B Avg Odds,Fighter B Best Odds
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Caio Borralho,Caio Borralho,Jared Cannonier,Middleweight,Decision - Unanimous,5,5:00,5,Dan Miragliotta,False,men,"[{'Bookmaker': 'Caesars', 'Odds Price': -275}, {'Bookmaker': 'BetRivers', 'Odds Price': -250}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -255}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -255}, {'Bookmaker': 'FanDuel', 'Odds Price': -245}, {'Bookmaker': 'DraftKings', 'Odds Price': -265}, {'Bookmaker': 'Bovada', 'Odds Price': -260}, {'Bookmaker': 'BetMGM', 'Odds Price': -275}, {'Bookmaker': 'BetUS', 'Odds Price': -255}]",-259.0,"{'Odds': -245, 'Bookmaker': 'FanDuel'}","[{'Bookmaker': 'Caesars', 'Odds Price': 225}, {'Bookmaker': 'BetRivers', 'Odds Price': 200}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 215}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 215}, {'Bookmaker': 'FanDuel', 'Odds Price': 200}, {'Bookmaker': 'DraftKings', 'Odds Price': 215}, {'Bookmaker': 'Bovada', 'Odds Price': 215}, {'Bookmaker': 'BetMGM', 'Odds Price': 220}, {'Bookmaker': 'BetUS', 'Odds Price': 205}]",212.0,"{'Odds': 225, 'Bookmaker': 'Caesars'}"
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Tabatha Ricci,Tabatha Ricci,Angela Hill,Strawweight,Decision - Unanimous,3,5:00,3,Keith Peterson,False,women,"[{'Bookmaker': 'DraftKings', 'Odds Price': -135}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -130}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -130}, {'Bookmaker': 'FanDuel', 'Odds Price': -126}, {'Bookmaker': 'BetRivers', 'Odds Price': -127}, {'Bookmaker': 'BetMGM', 'Odds Price': -125}, {'Bookmaker': 'Bovada', 'Odds Price': -135}, {'Bookmaker': 'BetUS', 'Odds Price': -130}]",-130.0,"{'Odds': -125, 'Bookmaker': 'BetMGM'}","[{'Bookmaker': 'DraftKings', 'Odds Price': 114}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 110}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 110}, {'Bookmaker': 'FanDuel', 'Odds Price': 108}, {'Bookmaker': 'BetRivers', 'Odds Price': 105}, {'Bookmaker': 'BetMGM', 'Odds Price': 105}, {'Bookmaker': 'Bovada', 'Odds Price': 115}, {'Bookmaker': 'BetUS', 'Odds Price': 100}]",108.0,"{'Odds': 115, 'Bookmaker': 'Bovada'}"
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Ryan Loder,Ryan Loder,Robert Valentin,Middleweight,KO/TKO,2,1:49,3,Mark Smith,False,men,"[{'Bookmaker': 'BetUS', 'Odds Price': 120}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 140}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 140}, {'Bookmaker': 'BetRivers', 'Odds Price': 128}, {'Bookmaker': 'Bovada', 'Odds Price': 130}, {'Bookmaker': 'FanDuel', 'Odds Price': 142}, {'Bookmaker': 'DraftKings', 'Odds Price': 136}, {'Bookmaker': 'Caesars', 'Odds Price': 140}, {'Bookmaker': 'BetMGM', 'Odds Price': 135}]",134.0,"{'Odds': 142, 'Bookmaker': 'FanDuel'}","[{'Bookmaker': 'BetUS', 'Odds Price': -150}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -160}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -160}, {'Bookmaker': 'BetRivers', 'Odds Price': -159}, {'Bookmaker': 'Bovada', 'Odds Price': -150}, {'Bookmaker': 'FanDuel', 'Odds Price': -168}, {'Bookmaker': 'DraftKings', 'Odds Price': -162}, {'Bookmaker': 'Caesars', 'Odds Price': -165}, {'Bookmaker': 'BetMGM', 'Odds Price': -165}]",-160.0,"{'Odds': -150, 'Bookmaker': 'BetUS'}"
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Mairon Santos,Mairon Santos,Kaan Ofli,Featherweight,KO/TKO,2,1:30,3,Chris Tognoni,False,men,"[{'Bookmaker': 'DraftKings', 'Odds Price': -198}, {'Bookmaker': 'FanDuel', 'Odds Price': -200}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -205}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -205}, {'Bookmaker': 'BetUS', 'Odds Price': -185}, {'Bookmaker': 'BetMGM', 'Odds Price': -210}, {'Bookmaker': 'Bovada', 'Odds Price': -198}, {'Bookmaker': 'Caesars', 'Odds Price': -195}, {'Bookmaker': 'BetRivers', 'Odds Price': -205}]",-200.0,"{'Odds': -185, 'Bookmaker': 'BetUS'}","[{'Bookmaker': 'DraftKings', 'Odds Price': 164}, {'Bookmaker': 'FanDuel', 'Odds Price': 168}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 175}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 175}, {'Bookmaker': 'BetUS', 'Odds Price': 155}, {'Bookmaker': 'BetMGM', 'Odds Price': 170}, {'Bookmaker': 'Bovada', 'Odds Price': 168}, {'Bookmaker': 'Caesars', 'Odds Price': 165}, {'Bookmaker': 'BetRivers', 'Odds Price': 163}]",167.0,"{'Odds': 175, 'Bookmaker': 'LowVig.ag'}"
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Michael Morales,Michael Morales,Neil Magny,Welterweight,KO/TKO,1,4:39,3,Dan Miragliotta,False,men,"[{'Bookmaker': 'DraftKings', 'Odds Price': -900}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -901}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -900}, {'Bookmaker': 'FanDuel', 'Odds Price': -850}, {'Bookmaker': 'BetRivers', 'Odds Price': -910}, {'Bookmaker': 'BetMGM', 'Odds Price': -900}, {'Bookmaker': 'Bovada', 'Odds Price': -950}, {'Bookmaker': 'BetUS', 'Odds Price': -900}, {'Bookmaker': 'Caesars', 'Odds Price': -800}]",-888.0,"{'Odds': -800, 'Bookmaker': 'Caesars'}","[{'Bookmaker': 'DraftKings', 'Odds Price': 600}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 600}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 600}, {'Bookmaker': 'FanDuel', 'Odds Price': 590}, {'Bookmaker': 'BetRivers', 'Odds Price': 600}, {'Bookmaker': 'BetMGM', 'Odds Price': 600}, {'Bookmaker': 'Bovada', 'Odds Price': 600}, {'Bookmaker': 'BetUS', 'Odds Price': 550}, {'Bookmaker': 'Caesars', 'Odds Price': 550}]",587.0,"{'Odds': 600, 'Bookmaker': 'DraftKings'}"
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Gerald Meerschaert,Gerald Meerschaert,Edmen Shahbazyan,Middleweight,Submission,2,4:12,3,Mark Smith,False,men,"[{'Bookmaker': 'DraftKings', 'Odds Price': 275}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 265}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 265}, {'Bookmaker': 'FanDuel', 'Odds Price': 290}, {'Bookmaker': 'BetRivers', 'Odds Price': 235}, {'Bookmaker': 'BetMGM', 'Odds Price': 270}, {'Bookmaker': 'Bovada', 'Odds Price': 280}, {'Bookmaker': 'BetUS', 'Odds Price': 240}, {'Bookmaker': 'Caesars', 'Odds Price': 265}]",264.0,"{'Odds': 290, 'Bookmaker': 'FanDuel'}","[{'Bookmaker': 'DraftKings', 'Odds Price': -345}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -315}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -315}, {'Bookmaker': 'FanDuel', 'Odds Price': -360}, {'Bookmaker': 'BetRivers', 'Odds Price': -305}, {'Bookmaker': 'BetMGM', 'Odds Price': -350}, {'Bookmaker': 'Bovada', 'Odds Price': -360}, {'Bookmaker': 'BetUS', 'Odds Price': -315}, {'Bookmaker': 'Caesars', 'Odds Price': -340}]",-333.0,"{'Odds': -305, 'Bookmaker': 'BetRivers'}"
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Francis Marshall,Francis Marshall,Dennis Buzukja,Lightweight,Decision - Split,3,5:00,3,Keith Peterson,False,men,"[{'Bookmaker': 'LowVig.ag', 'Odds Price': -160}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -160}, {'Bookmaker': 'FanDuel', 'Odds Price': -158}, {'Bookmaker': 'Bovada', 'Odds Price': -155}, {'Bookmaker': 'DraftKings', 'Odds Price': -155}, {'Bookmaker': 'BetUS', 'Odds Price': -160}, {'Bookmaker': 'BetRivers', 'Odds Price': -143}, {'Bookmaker': 'BetMGM', 'Odds Price': -145}, {'Bookmaker': 'Caesars', 'Odds Price': -145}]",-153.0,"{'Odds': -143, 'Bookmaker': 'BetRivers'}","[{'Bookmaker': 'LowVig.ag', 'Odds Price': 140}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 140}, {'Bookmaker': 'FanDuel', 'Odds Price': 134}, {'Bookmaker': 'Bovada', 'Odds Price': 133}, {'Bookmaker': 'DraftKings', 'Odds Price': 130}, {'Bookmaker': 'BetUS', 'Odds Price': 130}, {'Bookmaker': 'BetRivers', 'Odds Price': 116}, {'Bookmaker': 'BetMGM', 'Odds Price': 120}, {'Bookmaker': 'Caesars', 'Odds Price': 122}]",129.0,"{'Odds': 140, 'Bookmaker': 'LowVig.ag'}"
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Zachary Reese,Zachary Reese,Jose Daniel Medina,Middleweight,Decision - Unanimous,3,5:00,3,Dan Miragliotta,False,men,"[{'Bookmaker': 'DraftKings', 'Odds Price': -625}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -625}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -625}, {'Bookmaker': 'FanDuel', 'Odds Price': -590}, {'Bookmaker': 'BetRivers', 'Odds Price': -590}, {'Bookmaker': 'BetMGM', 'Odds Price': -600}, {'Bookmaker': 'BetUS', 'Odds Price': -625}, {'Bookmaker': 'Caesars', 'Odds Price': -650}, {'Bookmaker': 'Bovada', 'Odds Price': -625}]",-617.0,"{'Odds': -590, 'Bookmaker': 'FanDuel'}","[{'Bookmaker': 'DraftKings', 'Odds Price': 455}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 450}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 450}, {'Bookmaker': 'FanDuel', 'Odds Price': 440}, {'Bookmaker': 'BetRivers', 'Odds Price': 430}, {'Bookmaker': 'BetMGM', 'Odds Price': 425}, {'Bookmaker': 'BetUS', 'Odds Price': 425}, {'Bookmaker': 'Caesars', 'Odds Price': 460}, {'Bookmaker': 'Bovada', 'Odds Price': 430}]",440.0,"{'Odds': 460, 'Bookmaker': 'Caesars'}"
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Viacheslav Borshchev,Viacheslav Borshchev,James Llontop,Lightweight,Decision - Split,3,5:00,3,Chris Tognoni,False,men,"[{'Bookmaker': 'DraftKings', 'Odds Price': -218}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -205}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -205}, {'Bookmaker': 'FanDuel', 'Odds Price': -210}, {'Bookmaker': 'BetRivers', 'Odds Price': -215}, {'Bookmaker': 'BetMGM', 'Odds Price': -210}, {'Bookmaker': 'Bovada', 'Odds Price': -225}, {'Bookmaker': 'BetUS', 'Odds Price': -205}, {'Bookmaker': 'Caesars', 'Odds Price': -210}]",-211.0,"{'Odds': -205, 'Bookmaker': 'LowVig.ag'}","[{'Bookmaker': 'DraftKings', 'Odds Price': 180}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 175}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 175}, {'Bookmaker': 'FanDuel', 'Odds Price': 176}, {'Bookmaker': 'BetRivers', 'Odds Price': 170}, {'Bookmaker': 'BetMGM', 'Odds Price': 175}, {'Bookmaker': 'Bovada', 'Odds Price': 185}, {'Bookmaker': 'BetUS', 'Odds Price': 170}, {'Bookmaker': 'Caesars', 'Odds Price': 175}]",176.0,"{'Odds': 185, 'Bookmaker': 'Bovada'}"
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA",Jacqueline Cavalcanti,Jacqueline Cavalcanti,Josiane Nunes,Bantamweight,Decision - Split,3,5:00,3,Mark Smith,False,women,"[{'Bookmaker': 'DraftKings', 'Odds Price': -230}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -222}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -222}, {'Bookmaker': 'FanDuel', 'Odds Price': -215}, {'Bookmaker': 'BetRivers', 'Odds Price': -245}, {'Bookmaker': 'BetMGM', 'Odds Price': -225}, {'Bookmaker': 'Bovada', 'Odds Price': -230}, {'Bookmaker': 'BetUS', 'Odds Price': -220}, {'Bookmaker': 'Caesars', 'Odds Price': -225}]",-226.0,"{'Odds': -215, 'Bookmaker': 'FanDuel'}","[{'Bookmaker': 'DraftKings', 'Odds Price': 190}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 187}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 187}, {'Bookmaker': 'FanDuel', 'Odds Price': 180}, {'Bookmaker': 'BetRivers', 'Odds Price': 190}, {'Bookmaker': 'BetMGM', 'Odds Price': 180}, {'Bookmaker': 'Bovada', 'Odds Price': 190}, {'Bookmaker': 'BetUS', 'Odds Price': 180}, {'Bookmaker': 'Caesars', 'Odds Price': 185}]",185.0,"{'Odds': 190, 'Bookmaker': 'DraftKings'}"
