event_name,event_date,event_location,winner,fighter_a_name,fighter_b_name,weightclass,method_of_victory,round_of_victory,time_of_victory,time_format,referee,title_fight,gender,Fighter A Odds,Fighter A Avg Odds,Fighter A Best Odds,Fighter B Odds,Fighter B Avg Odds,Fighter B Best Odds
UFC 303: Pereira vs. Prochazka 2,2024-06-29,"Las Vegas, Nevada, USA",Diego Lopes,Diego Lopes,Dan Ige,Catchweight,Decision - Unanimous,3,5:00,3,,False,men,"[{'Bookmaker': 'DraftKings', 'Odds Price': -135}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -137}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -137}, {'Bookmaker': 'Bovada', 'Odds Price': -140}, {'Bookmaker': 'FanDuel', 'Odds Price': -142}, {'Bookmaker': 'BetRivers', 'Odds Price': -152}, {'Bookmaker': 'BetMGM', 'Odds Price': -145}, {'Bookmaker': 'Caesars', 'Odds Price': -140}, {'Bookmaker': 'DraftKings', 'Odds Price': -135}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -137}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -137}, {'Bookmaker': 'Bovada', 'Odds Price': -140}, {'Bookmaker': 'FanDuel', 'Odds Price': -142}, {'Bookmaker': 'BetRivers', 'Odds Price': -152}, {'Bookmaker': 'BetMGM', 'Odds Price': -145}, {'Bookmaker': 'Caesars', 'Odds Price': -140}]",-141.0,"{'Odds': -135, 'Bookmaker': 'DraftKings'}",[],,
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,"Kallang, Singapore",Garrett Armfield,Garrett Armfield,Toshiomi Kazama,Bantamweight,KO/TKO,1,4:16,3,Kevin Sataki,False,men,[],,,[],,
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,"Kallang, Singapore",Michal Oleksiejczuk,Michal Oleksiejczuk,Chidi Njokuani,Middleweight,KO/TKO,1,4:16,3,Thomas Fan,False,men,[],,,[],,
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,"Kallang, Singapore",Song Kenan,Song Kenan,Rolando Bedoya,Welterweight,Decision - Unanimous,3,5:00,3,Marc Goddard,False,men,[],,,[],,
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,"Kallang, Singapore",Billy Ray Goff,Billy Ray Goff,Yusaku Kinoshita,Welterweight,KO/TKO,1,3:49,3,Mark Craig,False,men,[],,,[],,
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,"Kallang, Singapore",JJ Aldrich,JJ Aldrich,Liang Na,Flyweight,KO/TKO,2,4:49,3,Kevin Sataki,False,women,[],,,[],,
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,"Kallang, Singapore",SeungWoo Choi,SeungWoo Choi,Jarno Errens,Featherweight,Decision - Unanimous,3,5:00,3,Thomas Fan,False,men,[],,,[],,
UFC Fight Night: Kattar vs. Chikadze,2022-01-15,"Las Vegas, Nevada, USA",Brian Kelleher,Brian Kelleher,Kevin Croom,Featherweight,Decision - Unanimous,3,5:00,3,Keith Peterson,False,men,[],,,[],,
UFC Fight Night: Lewis vs. Daukaus,2021-12-18,"Las Vegas, Nevada, USA",Justin Tafa,Justin Tafa,Harry Hunsucker,Heavyweight,KO/TKO,1,1:53,3,Herb Dean,False,men,[],,,[],,
UFC 269: Oliveira vs. Poirier,2021-12-11,"Las Vegas, Nevada, USA",Tony Kelley,Tony Kelley,Randy Costa,Bantamweight,KO/TKO,2,4:15,3,Mark Smith,False,men,[],,,[],,
